"Accordion: one filter expanded at a time","Accordion: one filter expanded at a time"
"Initially collapsed; expanded manually","Initially collapsed; expanded manually"
"Initially expanded; collapsed manually","Initially expanded; collapsed manually"
"Show Filters In Following Positions","Show Filters In Following Positions"
"On Mobile Devices","On Mobile Devices"
"Initially Collapsed","Initially Collapsed"
"Initially Expanded","Initially Expanded"
"Filter","Filter"
"By Default Show Filters","By Default Show Filters"
"Mobile Layered Navigation","Mobile Layered Navigation"
"Enable Mobile Layered Navigation On Body Width","Enable Mobile Layered Navigation On Body Width"
"in pixels. Leave empty to disable mobile layout feature. Note that mobile layout may require theme-related CSS changes.","in pixels. Leave empty to disable mobile layout feature. Note that mobile layout may require theme-related CSS changes."
"Behavior","Behavior"
"Whole Block Is","Whole Block Is"
"Animation Duration","Animation Duration"
"Speed of sliding effect in milliseconds.","Speed of sliding effect in milliseconds."
"Mobile","Mobile"
"",""
"",""
