"Filter Settings","Filter Settings"
"General Settings","General Settings"
"Title","Title"
"Parameter Name","Parameter Name"
"Position","Position"
"Template","Template"
"Show On the Following Page Types","Show On the Following Page Types"
"On Category Pages","On Category Pages"
"On Quick Search Page","On Quick Search Page"
"Template Settings","Template Settings"
"Hide Options Having No Products","Hide Options Having No Products"
"%1 - MANAdev Layered Navigation Filter","%1 - MANAdev Layered Navigation Filter"
"Save and Continue Edit","Save and Continue Edit"
"MANAdev Layered Navigation Filters","MANAdev Layered Navigation Filters"
"Filter settings have been saved.","Filter settings have been saved."
"Layered Navigation","Layered Navigation"
"Global Configuration","Global Configuration"
"Default Templates for Filters Based On","Default Templates for Filters Based On"
"Dropdown and Multiple Select Attributes","Dropdown and Multiple Select Attributes"
"Swatch Attributes","Swatch Attributes"
"Decimal Attributes of Price Type","Decimal Attributes of Price Type"
"Layered Navigation Filter Settings","Layered Navigation Filter Settings"
"Save","Save"
"MANAdev Layered Navigation Global Configuration","MANAdev Layered Navigation Global Configuration"
"Hide Filter with Single Visible Item","Hide Filter with Single Visible Item"
"Hide Filters with Single Visible Item","Hide Filters with Single Visible Item"
"Default Option Order In Filters Based on Dropdown and Multiple Select Attributes","Default Option Order In Filters Based on Dropdown and Multiple Select Attributes"
"Show Selected Options First","Show Selected Options First"
"Sort Options By","Sort Options By"
"",""
"",""
"",""
