"Show More/Show Less Options","Show More/Show Less Options"
"Method of Showing All Options","Method of Showing All Options"
"Number of Always Shown Options","Number of Always Shown Options"
"Animation Duration","Animation Duration"
"Speed of sliding effect in milliseconds.","Speed of sliding effect in milliseconds."
"'Show More' and 'Show Less' actions","'Show More' and 'Show Less' actions"
"Scroll bar","Scroll bar"
"'Show More' popup","'Show More' popup"
"Show more","Show more"
"Show less","Show less"
"Show Option Search","Show Option Search"
"Search an option ...","Search an option ..."
"",""
"",""
"",""
"",""
