"SEO URL Keys (Rewrites)","SEO URL Keys (Rewrites)"
"(Manadev) Based on category and CMS page URL rewrite changes, recalculates SEO URL Keys","(Manadev) Based on category and CMS page URL rewrite changes, recalculates SEO URL Keys"
"Category page","Category page"
"Quick search page","Quick search page"
"CMS page","CMS page"
"SEO URL Parser Queries","SEO URL Parser Queries"
"SEO Settings","SEO Settings"
"URL Path Delimiters","URL Path Delimiters"
"URL Path Prefix Delimiter","URL Path Prefix Delimiter"
"URL Path Suffix Delimiter","URL Path Suffix Delimiter"
"URL Path Prefix","URL Path Prefix"
"URL Path Suffix","URL Path Suffix"
"URL Query","URL Query"
"URL Keys","URL Keys"
"Search Page","Search Page"
"SEO URL Index Queries","SEO URL Index Queries"
"General","General"
"Redirect","Redirect"
"Canonical URL","Canonical URL"
"rel=prev and rel=next","rel=prev and rel=next"
"Product List Toolbar 'Page' Parameter","Product List Toolbar 'Page' Parameter"
"Product List Toolbar 'Sort By' Parameter","Product List Toolbar 'Sort By' Parameter"
"Product List Toolbar 'Sort Direction' Parameter","Product List Toolbar 'Sort Direction' Parameter"
"Product List Toolbar 'Mode' Parameter","Product List Toolbar 'Mode' Parameter"
"Product List Toolbar 'Products per Page' Parameter","Product List Toolbar 'Products per Page' Parameter"
"Prefix Delimiters","Prefix Delimiters"
"Parameter Delimiter","Parameter Delimiter"
"Value Delimiter","Value Delimiter"
"Option Delimiter","Option Delimiter"
"Range Delimiter","Range Delimiter"
"Category Path Delimiter","Category Path Delimiter"
"Suffix Delimiters","Suffix Delimiters"
"Symbol Translations","Symbol Translations"
"Other","Other"
"URL Key","URL Key"
"URL Part","URL Part"
"Position in URL","Position in URL"
"Include in Canonical URL","Include in Canonical URL"
"Force NOINDEX If Parameter is Present","Force NOINDEX If Parameter is Present"
"Force NOFOLLOW If Parameter is Present","Force NOFOLLOW If Parameter is Present"
"Include in Meta Title","Include in Meta Title"
"Include in Meta Description","Include in Meta Description"
"Include in Meta Keywords","Include in Meta Keywords"
"Query Parameters to Path Parameters","Query Parameters to Path Parameters"
"Migrates ?color=24 URLs to /color/red URLs. Turn off to improve performance","Migrates ?color=24 URLs to /color/red URLs. Turn off to improve performance"
"Applied Category Filter to Subcategory Page","Applied Category Filter to Subcategory Page"
"To Correct Path Parameter Order","To Correct Path Parameter Order"
"Never","Never"
"On non-filtered pages only (`category/page/N`)","On non-filtered pages only (`category/page/N`)"
"On all pages except having toolbar parameters (`category/filter/value/page/N`)","On all pages except having toolbar parameters (`category/filter/value/page/N`)"
"On Category Pages","On Category Pages"
"On Search Page","On Search Page"
"On CMS Pages","On CMS Pages"
"Points to Page With All Products","Points to Page With All Products"
"Remove on Second and Further Pages","Remove on Second and Further Pages"
"Add rel=prev and rel=next Paging Hint Links","Add rel=prev and rel=next Paging Hint Links"
"Add Filtered Links to Sitemap If Number of Applied Filters Is Equal or More Than","Add Filtered Links to Sitemap If Number of Applied Filters Is Equal or More Than"
"Leave empty to disable this setting","Leave empty to disable this setting"
"Excluded Query Parameters","Excluded Query Parameters"
"These comma-separated query parameters are excluded from all layered navigation links. Useful for marketing campaign tracking parameters like utm_campaign.","These comma-separated query parameters are excluded from all layered navigation links. Useful for marketing campaign tracking parameters like utm_campaign."
"Allow Only Known Options","Allow Only Known Options"
"Additionally Allowed Options","Additionally Allowed Options"
"Search Keyword Parameter","Search Keyword Parameter"
"Use Parameter URL Key","Use Parameter URL Key"
"If disabled, search keyword appears first in its URL part","If disabled, search keyword appears first in its URL part"
"Keywords to Include in Sitemap","Keywords to Include in Sitemap"
"Start each keyword from new line","Start each keyword from new line"
"Create Redirect for old URL","Create Redirect for old URL"
"Something went wrong while creating redirects for old configuration values: %s","Something went wrong while creating redirects for old configuration values: %s"
"Show redirects","Show redirects"
"Hide redirects","Hide redirects"
"On store level","On store level"
"On website level","On website level"
"Globally","Globally"
"Redirect From","Redirect From"
"Redirect Defined","Redirect Defined"
"Delete","Delete"
"Action","Action"
"Manadev SEO URL Keys","Manadev SEO URL Keys"
"Active","Active"
"Redirected","Redirected"
"Disabled","Disabled"
"Page","Page"
"Parameter","Parameter"
"Option","Option"
"Category Page","Category Page"
"CMS Page","CMS Page"
"Quick Search Page","Quick Search Page"
"Toolbar Parameter","Toolbar Parameter"
"Keyword Parameter","Keyword Parameter"
"URL Key","URL Key"
"Status","Status"
"Position","Position"
"Store View","Store View"
"Type","Type"
"Sub Type","Sub Type"
"Description","Description"
"Reference","Reference"
"'%1' - %2 - URL Key","'%1' - %2 - URL Key"
"URL Key Based On","URL Key Based On"
"Inferred URL Key","Inferred URL Key"
"Assigned URL Key","Assigned URL Key"
"Conflict Resolution","Conflict Resolution"
"Use this field to override inferred URL key. Leave empty to use inferred URL key. Whitespace in URL key is not allowed and is trimmed.","Use this field to override inferred URL key. Leave empty to use inferred URL key. Whitespace in URL key is not allowed and is trimmed."
"SEO URL Generator Queries","SEO URL Generator Queries"
"SEO URL Parser Logic","SEO URL Parser Logic"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""

