sku,store_view_code,rfm_bluetooth
LBCA2ZZVZE,wireless_store_view,4.0 LE
LBCA2ZXWSE,wireless_store_view,4.0 LE
LBEP5CLWMC-633,wireless_store_view,4.1 BR/EDR/LE
LBEP5CLWTC-631,wireless_store_view,4.1 BR/EDR/LE
LBEH5UL1CX,wireless_store_view,4.1 BR/EDR/LE
LBCA2BZZFZ,wireless_store_view,4.1 LE
LBEE5ZZ1MD,wireless_store_view,4.1 LE
LBCA1CW1GR,wireless_store_view,4.1 LE
AFERO-BL24-01,wireless_store_view,4.1 LE
LBMA15Q1BX,wireless_store_view,4.2 BR/EDR/LE
LBEH5HMZPC,wireless_store_view,4.2 BR/EDR/LE
LBEE5KL1DX,wireless_store_view,4.2 BR/EDR/LE
CMEN1ZZABH,wireless_store_view,4.2 BR/EDR/LE
LBEE5ZZ1CK,wireless_store_view,4.2 BR/EDR/LE
LBEE5PA1LD,wireless_store_view,4.2 BR/EDR/LE
LBEE5U91CQ,wireless_store_view,4.2 BR/EDR/LE
LBEE5ZZ1PJ,wireless_store_view,4.2 BR/EDR/LE
LBEH5DU1BW,wireless_store_view,5.0 BR/EDR/LE
LBEE5HY1MW,wireless_store_view,5.0 BR/EDR/LE
