out_of_stock_qty,is_qty_decimal,allow_backorders,enable_qty_increments,is_decimal_divided,website_id,price,product_online,use_config_min_qty,use_config_backorders,min_cart_qty,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,i2out,v1in_regulated,v2in_regulated,v1out_vdc,v1out_vdc_number,v2out_vdc,vin_min,efficiency,pard_typical,i1out,vin_max,qty,output_power_total_w,total_output_power_w,isolation_vdc,max_cart_qty,data_sheet,series_description,description,short_description,operating_temperature_range,page_layout,form_factor,dimension,created_at,series_headline,updated_at,dimensions_mm,vin_range,attribute_set_code,display_product_options_in,visibility,series,name,url_key,meta_title,meta_keywords,meta_description,base_image,small_image,thumbnail_image,swatch_image,additional_images,categories,location,sku,design_origin,gift_message_available,rohs_exc_11,rohs_exc_34,rohs_exc_6a,rohs_exc_7b,rohs_exc_7c2,rohs_exc_7c3,rohs_exc_8,product_websites,product_status,product_type,tax_class_name,quality,enable_googlecheckout,is_imported,is_recurring,rohs_6,rohs_exc_6c,rohs_exc_7a,rohs_exc_7c1
0,0,0,0,0,0,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,12,12,12.2,12.2,12.2,90,96,120,133,264,999,1600,1600,4242,10000,/data/acdcsupplies/d1u86t-w-1600-12-hbxc.pdf,"<p>86mm wide, 1600W, 1U Front End DC-DC Power Supply</p>","<p>90-264 Vac OR 192-288Vdc input, 86mm wide, 1600W, 1U Front End DC-DC Power Supply</p>","<p>90-264 Vac OR 192-288Vdc input, 86mm wide, 1600W, 1U Front End DC-DC Power Supply</p>",0 to 50,2 columns with left bar,3.4 x 7.74,3.4 x 7.74 x 1.57,"5/28/19, 1:54 PM",54mm Front End DC-DC Power Supply,"6/6/19, 3:02 PM",86.3 x 196.5 x 40,90 to 264,AC/DC Power Supplies,Block after Info Column,"Catalog, Search",D1U86T,D1U86T-W-1600-12-HB3C,d1u86t-w-1600-12-hb3c,D1U86T-W-1600-12-HB3C,D1U86T-W-1600-12-HB3C,"D1U86T-W-1600-12-HB3C 90-264 Vac OR 192-288Vdc input, 86mm wide, 1600W, 1U Front End DC-DC Power Supply",d1u86t-w-2200-12-hbxc.jpg,d1u86t-w-2200-12-hbxc.jpg,d1u86t-w-2200-12-hbxc.jpg,d1u86t-w-2200-12-hbxc.jpg,d1u86t-w-2200-12-hbxc.jpg,"Default Category/Power Products/AC-DC Power Supplies/1U Front End/DC-DC,Murata PS/Products/AC-DC Power Supplies/1U Front-End/1U Front End (DC-DC),Default Category/Power Products/AC-DC Power Supplies/1U Front End",M,MPS8178,Murata Power Solutions,No,No,No,No,No,No,No,No,"power,murataps",Recommended In Production,simple,Taxable Goods,"UL60950-1, 2nd Edition, 2014-10-14 (Information Technology Equipment – safety - Part 1: General Requirements).
CAN/CSA C22.2 No. 60950-1-07, 2nd Edition, 2014-10 (Information Technology Equipment – safety - Part 1: General Requirements).
TUV: EN 60950-1:2006 + A11:2009 + A1:2010 + A12:2011 + A2:2013
IEC 62368-1:2014 (CB)
BSMI: CNS13438 (95 version), CNS14336-1 (99 version)
CQC: GB17625.1-2012, GB4943.1-2011, GB/T9254-2008 (Class A)
KC: K60950-1(2.0)(2011-12)
BIS: IS 13252 (Part 1): 2010 + A1:2013 + A2:2015/IEC 60950-1:2005 + A1: 2009 + A2:2013
EAC: IEC60950-1-2011",Yes,Yes,Yes,Yes,Yes,Yes,Yes
0,0,0,0,0,0,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,12,12,12.2,12.2,12.2,90,96,120,133,264,999,1600,1600,4242,10000,/data/acdcsupplies/d1u86t-w-1600-12-hbxc.pdf ,"<p>86mm wide, 1600W, 1U Front End DC-DC Power Supply</p>","<p>90-264 Vac OR 192-288Vdc input, 86mm wide, 1600W, 1U Front End DC-DC Power Supply</p>","<p>90-264 Vac OR 192-288Vdc input, 86mm wide, 1600W, 1U Front End DC-DC Power Supply</p>",0 to 55,2 columns with left bar,3.4 x 7.74,3.4 x 7.74 x 1.57,"5/28/19, 2:48 PM",54mm Front End DC-DC Power Supply,"6/6/19, 3:09 PM",86.3 x 196.5 x 40,90 to 264,AC/DC Power Supplies,Block after Info Column,"Catalog, Search",D1U86T,D1U86T-W-1600-12-HB4C,d1u86t-w-1600-12-hb4c,D1U86T-W-1600-12-HB4C,D1U86T-W-1600-12-HB4C,"D1U86T-W-1600-12-HB4C 90-264 Vac OR 192-288Vdc input, 86mm wide, 1600W, 1U Front End DC-DC Power Supply",d1u86t-w-2200-12-hbxc.jpg,d1u86t-w-2200-12-hbxc.jpg,d1u86t-w-2200-12-hbxc.jpg,d1u86t-w-2200-12-hbxc.jpg,d1u86t-w-2200-12-hbxc.jpg,"Default Category/Power Products/AC-DC Power Supplies/1U Front End/DC-DC,Default Category/Power Products/AC-DC Power Supplies/1U Front End,Murata PS/Products/AC-DC Power Supplies/1U Front-End/1U Front End (DC-DC)",M,MPS8176,Murata Power Solutions,No,No,No,No,No,No,No,No,"power,murataps",Recommended In Production,simple,Taxable Goods,"UL60950-1, 2nd Edition, 2014-10-14 (Information Technology Equipment – safety - Part 1: General Requirements).
CAN/CSA C22.2 No. 60950-1-07, 2nd Edition, 2014-10 (Information Technology Equipment – safety - Part 1: General Requirements).
TUV: EN 60950-1:2006 + A11:2009 + A1:2010 + A12:2011 + A2:2013
IEC 62368-1:2014 (CB)
BSMI: CNS13438 (95 version), CNS14336-1 (99 version)
CQC: GB17625.1-2012, GB4943.1-2011, GB/T9254-2008 (Class A)
KC: K60950-1(2.0)(2011-12)
BIS: IS 13252 (Part 1): 2010 + A1:2013 + A2:2015/IEC 60950-1:2005 + A1: 2009 + A2:2013
EAC: IEC60950-1-2011",Yes,Yes,Yes,Yes,Yes,Yes,Yes
